Logistic Regression,Random Forest,Gradient Boosting (GBM),SVM,KNN,Setting,Dataset
0.5263644773358002,0.49568300955905026,0.46561825470243606,0.5251310514955289,0.4761023743447425,All features,near.csv
0.46827651515151514,0.5082859848484849,0.5160984848484849,0.42613636363636354,0.525094696969697,All features,optimism.csv
0.9393939393939394,0.9696969696969697,0.3787878787878788,0.5606060606060606,0.7196969696969697,All features,pepe.csv
0.4980533093740641,0.5384845762204252,0.5160227613057802,0.46196466007786763,0.45837076969152446,All features,polkadot.csv
0.5330528846153847,0.5961538461538461,0.5417668269230769,0.5336538461538461,0.5256911057692308,All features,polygon.csv
0.38793363499245853,0.40512820512820513,0.4684766214177979,0.4838612368024133,0.4401206636500754,All features,render.csv
0.5630428271937705,0.5414794848757113,0.5926924228811021,0.4402515723270439,0.559748427672956,All features,sandbox.csv
0.7141509433962264,0.5226415094339623,0.4867924528301887,0.4537735849056604,0.5339622641509434,All features,shiba_inu.csv
0.526284348864994,0.4752090800477897,0.5300179211469533,0.474910394265233,0.5631720430107526,All features,solana.csv
0.5050595238095238,0.40327380952380953,0.506547619047619,0.534375,0.4845238095238095,All features,stacks.csv
0.5530776092774309,0.5407374368123699,0.5084745762711864,0.5069878085043116,0.5426702349093071,All features,stellar.csv
0.7287581699346405,0.8284313725490196,0.5620915032679739,0.36601307189542487,0.607843137254902,All features,sui.csv
0.5800595238095239,0.6282738095238095,0.5979166666666668,0.6625,0.46116071428571426,All features,tether.csv
0.5036363636363635,0.6421212121212121,0.5703030303030303,0.48636363636363633,0.5274242424242425,All features,tezos.csv
0.49641577060931896,0.6003584229390682,0.49193548387096775,0.5256869772998806,0.46415770609319,All features,theta.csv
0.775,0.675,0.7166666666666666,0.19999999999999998,0.7083333333333335,All features,the_graph.csv
0.5179898899791853,0.5153137079988106,0.55961938745168,0.5093666369313113,0.4796312815938151,All features,toncoin.csv
0.598345588235294,0.5404411764705882,0.5196078431372549,0.44883578431372545,0.5442708333333334,All features,tron.csv
0.5013380909901873,0.5211121022896223,0.49970264644662504,0.527802557240559,0.4748736247398156,All features,uniswap.csv
0.4447439353099731,0.7353998203054808,0.7097933513027852,0.4728960766696616,0.3999700509134472,All features,usd_coin.csv
0.4188701923076923,0.4378004807692308,0.4884314903846154,0.4666466346153846,0.4822716346153846,All features,vechain.csv
0.4467261904761905,0.45848214285714284,0.487202380952381,0.47619047619047616,0.5348214285714286,All features,xrp.csv
0.4846497764530551,0.5,0.4986587183308495,0.42295081967213116,0.5692995529061102,W/o Close,aave.csv
0.47641073080481033,0.5646006783842121,0.49460376194881284,0.492445266728338,0.48781991982732037,W/o Close,algorand.csv
0.573802541544477,0.5747800586510263,0.436950146627566,0.5073313782991202,0.6143695014662757,W/o Close,aptos.csv
0.6043956043956044,0.625,0.6510989010989011,0.4642857142857143,0.5604395604395604,W/o Close,arbitrum.csv
0.41761363636363635,0.48832070707070707,0.5003156565656566,0.42866161616161613,0.4829545454545454,W/o Close,avalanche.csv
0.4770833333333333,0.4854166666666667,0.5071428571428571,0.49196428571428574,0.5072916666666667,W/o Close,axie_infinity.csv
0.45823317307692313,0.4110576923076923,0.4894831730769231,0.48768028846153844,0.4777644230769231,W/o Close,binance_coin.csv
0.4611028315946349,0.5411326378539493,0.5040238450074516,0.5397913561847989,0.45424739195231006,W/o Close,bitcoin.csv
0.5625929229854296,0.5040142729705621,0.5459411239964318,0.49836455545643776,0.4513826940231936,W/o Close,bitcoin_cash.csv
0.4542986425339367,0.49653092006033184,0.45369532428355963,0.4911010558069382,0.5434389140271494,W/o Close,cardano.csv
0.47121535181236673,0.47761194029850745,0.4779165397502285,0.5102040816326531,0.5167529698446542,W/o Close,chainlink.csv
0.5141579731743666,0.4819672131147541,0.4239940387481371,0.5102831594634873,0.5038748137108793,W/o Close,cosmos.csv
0.619891826923077,0.5314002403846153,0.5144230769230769,0.6104266826923077,0.5821814903846154,W/o Close,decentraland.csv
0.5143288084464555,0.5233785822021116,0.503921568627451,0.4307692307692308,0.6244343891402715,W/o Close,dogecoin.csv
0.5653092006033182,0.5475113122171946,0.5236802413273002,0.5969834087481146,0.5514328808446456,W/o Close,eos.csv
