Linear Regression,Ridge,Lasso,Random Forest,Gradient Boosting (GBM),SVR,Setting,Dataset
0.2393436966450259,0.3011088715898059,0.31595598459573254,0.317250693257901,0.3495687010863807,0.8069200078366202,W/o Close,internet_computer.csv
0.20868432240629486,0.22242470832073996,0.889357008381239,0.5885299788038543,0.5923224784831268,0.7910159350804166,W/o Close,kaspa.csv
0.18014127921546358,0.18781400802336778,0.4214779055505154,0.19125288718559674,0.1844067777706854,0.4486409321320634,W/o Close,lido.csv
0.14413561102655165,0.15189987357224188,0.14562596408647552,0.15010158827761838,0.15170936203206917,0.5831672530189588,W/o Close,litecoin.csv
0.15114356291223957,0.15188536726545818,0.14979374876785362,0.20992462189146918,0.19487653444753059,0.552614522462158,W/o Close,maker.csv
0.2517169874141433,0.2971671205744472,0.46894214138331647,0.24774667109931692,0.3133928184810353,1.0266658115321388,W/o Close,near.csv
0.17940771243131365,0.185947255519358,0.3337210743899731,0.19605174358009161,0.22113964976944722,0.4292590926315118,W/o Close,optimism.csv
0.3779324916361409,0.380829384759816,0.5345224846688511,0.3014251860883889,0.35291454190036603,1.14953406710222,W/o Close,pepe.csv
0.1951304921185439,0.27627678275846007,0.2735197525343457,0.272322050779645,0.2930528808638594,0.7059019861384391,W/o Close,polkadot.csv
0.16735832617180726,0.18839868881312052,0.7554619188756138,0.18280346450274618,0.20475097999230227,0.6241932795696727,W/o Close,polygon.csv
0.1939009962610642,0.19793161014432017,0.4474649336682752,0.24407621509352515,0.2232465518798096,0.5104510804536115,W/o Close,render.csv
0.2665478336938514,0.3039345821789851,0.9375991015728568,0.2751286368767429,0.3220207090134142,1.0658048823924287,W/o Close,sandbox.csv
0.23315466543008995,0.251321153329598,1.020296729788754,0.24934341096486426,0.2529998871629916,2.128882970333611,W/o Close,shiba_inu.csv
0.21120591111289405,0.24218117426995253,0.2211798565785953,0.3151476930515722,0.32186051916698527,0.6647650590272455,W/o Close,solana.csv
0.22473534903474027,0.2353928252492378,0.6451823169840839,0.2155096806758824,0.2175273248103562,0.4983460761370636,W/o Close,stacks.csv
0.13849598591012208,0.14542749996150653,0.47046031800264115,0.15243833517431743,0.16643823917851647,0.7195716237235852,W/o Close,stellar.csv
0.21747134575677743,0.2718980757880454,0.2771734744112361,0.263785042693753,0.24402558413503295,0.3109489804345304,W/o Close,sui.csv
0.014757099820705248,0.014850871692382844,0.016159255122957267,0.01491629793740516,0.01488680374794201,0.04048675648682319,W/o Close,tether.csv
0.1909225862818909,0.20648903997233428,0.6783660860795527,0.19934986198061694,0.23738652990439166,0.8197370435241602,W/o Close,tezos.csv
0.20203634051529812,0.25904458526133917,0.6327130381399818,0.216572589411539,0.24896111068766877,0.7762971445223626,W/o Close,theta.csv
0.2501338120992019,0.2743135980770457,0.5481466519035121,0.3662829137596809,0.3747397391165158,0.4263884542803731,W/o Close,the_graph.csv
0.17905084847744618,0.17909111774608322,0.4284287072523893,0.17315818296025312,0.17338982863054284,0.4671985757130238,W/o Close,toncoin.csv
0.1279316543477935,0.15624456605801448,0.49709479090083225,0.16787434898342043,0.16350546684283587,0.3146643313545634,W/o Close,tron.csv
0.17011139476529655,0.19659963992901827,0.300915789039141,0.2145537003776257,0.2239641563780744,0.5926467523132697,W/o Close,uniswap.csv
0.011305236952946015,0.01122311838741681,0.012088129395682776,0.009896379731407619,0.01225625965094623,0.11702431782938505,W/o Close,usd_coin.csv
0.18511594827836428,0.21360764955496725,0.8463550273965306,0.17342028608313634,0.17925477381475316,2.003354286555664,W/o Close,vechain.csv
0.13479704800919998,0.1410372287693992,0.4196409356342891,0.178534830294439,0.17684480082578877,0.2901328072003451,W/o Close,xrp.csv
0.16932038971064065,0.17485360779088593,0.17018982263216434,0.18406316322494878,0.17603288948078366,0.49505597709849514,W/o High,aave.csv
0.23182935350547745,0.31588690475957887,1.5054929796783922,0.2319723077151308,0.2637922221367935,1.1289963601742554,W/o High,algorand.csv
0.17889863094390768,0.17553917587893061,0.1917576538359161,0.1886900902475701,0.19201394141484765,0.3106470266774785,W/o High,aptos.csv
0.17422691826883005,0.16476786287983639,0.22265744423064596,0.18835660844191468,0.20515374886359922,0.25354296919403413,W/o High,arbitrum.csv
0.20929903135699798,0.26960385538140563,0.20964043211605454,0.31117872595736884,0.44568651435103906,0.815713533737304,W/o High,avalanche.csv
0.2112383905725945,0.34647920531566,0.25658893738371713,0.2679860487917654,0.31716131844368345,1.0779244857606234,W/o High,axie_infinity.csv
0.12219695373812539,0.14225395506185434,0.11920517984089349,0.15343522933841752,0.14247241029852686,0.5987646299845548,W/o High,binance_coin.csv
0.1246653553869022,0.1398789987726313,0.12454468829365974,0.16983372276434056,0.16161274803042963,0.3940899894372191,W/o High,bitcoin.csv
0.1513466944282489,0.16716059736168587,0.1458311495850846,0.21407942909333164,0.19306144266670802,0.6073657342021115,W/o High,bitcoin_cash.csv
0.16265767445901644,0.20339191376765475,0.8732022097867853,0.17131233381951244,0.18839732107275844,0.6848732794937936,W/o High,cardano.csv
0.18893396906972368,0.21264273052149818,0.2343450096486627,0.22077860649244455,0.21670068005977586,0.5528069938800027,W/o High,chainlink.csv
0.17509428429109003,0.18307976324867692,0.22922406659771521,0.25107271981041657,0.21748493494529011,0.7192006173556076,W/o High,cosmos.csv
0.23751536575315838,0.27298133620904924,0.9621624029823955,0.26303210590548337,0.2854188109459413,0.9375701288993097,W/o High,decentraland.csv
0.1556213375632658,0.17159517566829466,0.5900581836315105,0.15568799258341667,0.15941633846621006,1.1074668600859494,W/o High,dogecoin.csv
0.1528233231039056,0.20382398780603636,0.7831522674870469,0.1902162236415685,0.2113337611048366,0.7865603054168656,W/o High,eos.csv
